Game,Kind,ExactName,LocalFile,MeshId,Scale,RotationX,RotationY,RotationZ,Source,LicenseNote
Reel a Relic,Fish,Colossal Squid,reel-a-relic/fish/Colossal_Squid.obj,121255622798835,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Megalodon,reel-a-relic/fish/Megalodon.obj,112413024335932,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Rusty Anchor,reel-a-relic/relics/Rusty_Anchor.obj,95776638567257,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Message in a Bottle,reel-a-relic/relics/Message_in_a_Bottle.obj,125309269255533,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Conch Shell,reel-a-relic/relics/Conch_Shell.obj,121460576036221,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Silver Doubloon,reel-a-relic/relics/Silver_Doubloon.obj,skip,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Hurricane Lamp,reel-a-relic/relics/Hurricane_Lamp.obj,103754047244337,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Spanish Emerald,reel-a-relic/relics/Spanish_Emerald.obj,skip,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Galleon Bell,reel-a-relic/relics/Galleon_Bell.obj,100280888289309,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Cannery Token,reel-a-relic/relics/Cannery_Token.obj,skip,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Ship's Compass,reel-a-relic/relics/Ships_Compass.obj,139609542054494,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Abalone Shell,reel-a-relic/relics/Abalone_Shell.obj,127064647598834,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Diver's Helmet,reel-a-relic/relics/Divers_Helmet.obj,115385589063173,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Glass Float,reel-a-relic/relics/Glass_Float.obj,103777146803386,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Captain's Spyglass,reel-a-relic/relics/Captains_Spyglass.obj,119699815333351,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Shell Lei,reel-a-relic/relics/Shell_Lei.obj,120336921119198,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Whale Tooth Pendant,reel-a-relic/relics/Whale_Tooth_Pendant.obj,138294552059695,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Tiki Idol,reel-a-relic/relics/Tiki_Idol.obj,skip,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Pirate Cutlass,reel-a-relic/relics/Pirate_Cutlass.obj,137385746525325,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Coral Crown,reel-a-relic/relics/Coral_Crown.obj,80759227689672,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Sonar Beacon,reel-a-relic/relics/Sonar_Beacon.obj,116890143162461,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Submersible Porthole,reel-a-relic/relics/Submersible_Porthole.obj,137244813316448,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Black Box,reel-a-relic/relics/Black_Box.obj,skip,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Golden Astrolabe,reel-a-relic/relics/Golden_Astrolabe.obj,120399699987033,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Mermaid's Mirror,reel-a-relic/relics/Mermaids_Mirror.obj,88163239279176,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Oni Mask,reel-a-relic/relics/Oni_Mask.obj,104462567041434,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Temple Bell,reel-a-relic/relics/Temple_Bell.obj,89482190751483,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Sunken Crown,reel-a-relic/relics/Sunken_Crown.obj,124258050565359,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Tide Jewel,reel-a-relic/relics/Tide_Jewel.obj,skip,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Relic,Poseidon's Trident,reel-a-relic/relics/Poseidons_Trident.obj,129579584333901,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Quartz,crack-a-geode/crystals/Quartz.obj,113033354243136,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Amethyst,crack-a-geode/crystals/Amethyst.obj,92583408964793,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Topaz,crack-a-geode/crystals/Topaz.obj,92414990957174,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Emerald,crack-a-geode/crystals/Emerald.obj,98546010452110,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Sapphire,crack-a-geode/crystals/Sapphire.obj,118255444108074,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Ruby,crack-a-geode/crystals/Ruby.obj,99957108703251,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Opal,crack-a-geode/crystals/Opal.obj,80277452297193,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Crystal,Diamond,crack-a-geode/crystals/Diamond.obj,78952983628622,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Prop,ChestBase,props/fishing_relic_chest_base.obj,117569798192650,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Prop,ChestLid,props/fishing_relic_chest_lid.obj,84305083533626,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Prop,ChestBase,props/crystal_geode_chest_base.obj,73620068125097,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Prop,ChestLid,props/crystal_geode_chest_lid.obj,131543048004444,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Crack a Geode,Prop,GeodeHalfA,props/geode_half_a.obj,,0.674,0,0,0,Blue Agate Geode by ArcticGreenhouse,"CC BY 4.0 - credit required, see Config/Credits.luau"
Crack a Geode,Prop,GeodeHalfB,props/geode_half_b.obj,,0.674,0,0,0,Blue Agate Geode by ArcticGreenhouse,"CC BY 4.0 - credit required, see Config/Credits.luau"
