Game,Level,Asset,File,SuggestedMaterial,SuggestedColorRGB,StudioScale,Notes
Reel a Relic,01_Sunny_Shallows,Palm Tree,reel-a-relic/01_Sunny_Shallows/Palm_Tree.obj,Grass/Wood,"70,170,90",1.0,"Separate mesh, recolor trunk/leaves in Studio if desired"
Reel a Relic,01_Sunny_Shallows,Beach Rock A,reel-a-relic/01_Sunny_Shallows/Beach_Rock_A.obj,Sandstone,"195,178,145",1.0,
Reel a Relic,01_Sunny_Shallows,Reed Patch,reel-a-relic/01_Sunny_Shallows/Reed_Patch.obj,Grass,"90,185,100",1.0,
Reel a Relic,01_Sunny_Shallows,Wood Dock Segment,reel-a-relic/01_Sunny_Shallows/Wood_Dock_Segment.obj,WoodPlanks,"185,145,95",1.0,
Reel a Relic,01_Sunny_Shallows,Ring Buoy,reel-a-relic/01_Sunny_Shallows/Ring_Buoy.obj,SmoothPlastic,"255,180,55",1.0,
Reel a Relic,01_Sunny_Shallows,Driftwood,reel-a-relic/01_Sunny_Shallows/Driftwood.obj,Wood,"120,86,55",1.0,
Reel a Relic,02_Kelp_Forest,Tall Kelp Patch,reel-a-relic/02_Kelp_Forest/Tall_Kelp_Patch.obj,Grass,"60,150,90",1.0,
Reel a Relic,02_Kelp_Forest,Pine Tree,reel-a-relic/02_Kelp_Forest/Pine_Tree.obj,Grass/Wood,"50,110,70",1.0,
Reel a Relic,02_Kelp_Forest,Cold Shore Boulder,reel-a-relic/02_Kelp_Forest/Cold_Shore_Boulder.obj,Rock,"100,112,105",1.0,
Reel a Relic,02_Kelp_Forest,Old Wood Dock,reel-a-relic/02_Kelp_Forest/Old_Wood_Dock.obj,Wood,"105,82,60",1.0,
Reel a Relic,02_Kelp_Forest,Kelp Rock Cluster,reel-a-relic/02_Kelp_Forest/Kelp_Rock_Cluster.obj,Rock,"90,105,92",1.0,
Reel a Relic,02_Kelp_Forest,Drift Log,reel-a-relic/02_Kelp_Forest/Drift_Log.obj,Wood,"95,72,54",1.0,
Reel a Relic,03_Twilight_Reef,Coral Head,reel-a-relic/03_Twilight_Reef/Coral_Head.obj,SmoothPlastic,"255,125,150",1.0,
Reel a Relic,03_Twilight_Reef,Coral Fan,reel-a-relic/03_Twilight_Reef/Coral_Fan.obj,SmoothPlastic,"255,145,220",1.0,
Reel a Relic,03_Twilight_Reef,Sea Urchin,reel-a-relic/03_Twilight_Reef/Sea_Urchin.obj,SmoothPlastic,"120,70,170",1.0,
Reel a Relic,03_Twilight_Reef,Reef Rock,reel-a-relic/03_Twilight_Reef/Reef_Rock.obj,Sandstone,"215,168,155",1.0,
Reel a Relic,03_Twilight_Reef,Tiki Buoy,reel-a-relic/03_Twilight_Reef/Tiki_Buoy.obj,Wood,"155,95,60",1.0,
Reel a Relic,03_Twilight_Reef,Sandstone Dock Segment,reel-a-relic/03_Twilight_Reef/Sandstone_Dock_Segment.obj,Sandstone,"220,170,145",1.0,
Reel a Relic,04_Midnight_Trench,Trench Basalt Spires,reel-a-relic/04_Midnight_Trench/Trench_Basalt_Spires.obj,Basalt,"55,58,72",1.0,
Reel a Relic,04_Midnight_Trench,Hydrothermal Vent Cluster,reel-a-relic/04_Midnight_Trench/Hydrothermal_Vent_Cluster.obj,Basalt,"70,65,76",1.0,Add smoke/bubble particles
Reel a Relic,04_Midnight_Trench,Can Buoy,reel-a-relic/04_Midnight_Trench/Can_Buoy.obj,Metal,"95,105,120",1.0,
Reel a Relic,04_Midnight_Trench,Metal Dock Segment,reel-a-relic/04_Midnight_Trench/Metal_Dock_Segment.obj,DiamondPlate,"80,82,96",1.0,
Reel a Relic,04_Midnight_Trench,Trench Boulder,reel-a-relic/04_Midnight_Trench/Trench_Boulder.obj,Basalt,"50,52,68",1.0,
Reel a Relic,04_Midnight_Trench,Broken Metal Bridge,reel-a-relic/04_Midnight_Trench/Broken_Metal_Bridge.obj,DiamondPlate,"82,84,98",1.0,
Reel a Relic,05_The_Abyss,Whale Rib Bones,reel-a-relic/05_The_Abyss/Whale_Rib_Bones.obj,Bone,"205,200,185",1.0,
Reel a Relic,05_The_Abyss,Sea Creature Skull,reel-a-relic/05_The_Abyss/Sea_Creature_Skull.obj,Bone,"205,200,185",1.0,
Reel a Relic,05_The_Abyss,Lantern Buoy,reel-a-relic/05_The_Abyss/Lantern_Buoy.obj,Slate,"190,90,255",1.0,Put a PointLight in the top orb
Reel a Relic,05_The_Abyss,Abyss Spires,reel-a-relic/05_The_Abyss/Abyss_Spires.obj,Slate,"48,45,62",1.0,
Reel a Relic,05_The_Abyss,Biolum Mushroom Cluster,reel-a-relic/05_The_Abyss/Biolum_Mushroom_Cluster.obj,Neon,"140,100,255",1.0,
Reel a Relic,05_The_Abyss,Abyss Crystal Cluster,reel-a-relic/05_The_Abyss/Abyss_Crystal_Cluster.obj,Neon,"150,255,235",1.0,
